Time, Latitude, Longitude, Azimuth, Distance
16-Dec-2016 09:23:26, 52.9052, -169.1499, 80.2, 54.0
16-Dec-2016 09:23:26, 52.8319, -169.1782, 88.8, 51.5
16-Dec-2016 09:22:32, 52.8340, -169.1857, 88.6, 51.0
23-Nov-2016 04:59:59, 52.6103, -170.7892, -112.4, 61.7
22-Nov-2016 20:04:24, 53.1797, -168.6380, 65.2, 95.9
22-Nov-2016 20:04:24, 53.2214, -168.6871, 61.8, 94.9
06-Nov-2016 05:23:35, 52.8235, -169.9635, -97.2, 1.3
06-Nov-2016 05:23:35, 52.8603, -169.9370, 6.8, 4.0
02-Sep-2016 04:49:42, 52.1852, -170.3214, -160.1, 75.6
02-Sep-2016 04:39:15, 52.0420, -170.2766, -165.3, 89.9
18-Jun-2016 07:27:38, 52.5952, -168.9432, 110.4, 72.1
18-Jun-2016 06:42:20, 52.2576, -169.2303, 142.3, 79.4
18-Jun-2016 06:24:17, 52.3930, -169.3535, 140.1, 62.4
18-Jun-2016 06:21:11, 52.2713, -169.5201, 154.9, 67.9
18-Jun-2016 06:16:32, 52.0690, -169.6279, 165.6, 86.7
18-Jun-2016 06:10:11, 52.1355, -169.4443, 156.0, 83.8
18-Jun-2016 06:08:09, 52.1329, -169.6435, 165.1, 79.6
18-Jun-2016 06:08:09, 52.1357, -169.5243, 159.5, 81.7
18-Jun-2016 06:08:09, 52.1569, -169.7131, 168.0, 75.9
18-Jun-2016 06:08:09, 52.1188, -169.5814, 162.5, 82.3
18-Jun-2016 06:05:18, 52.0210, -170.0105, -177.1, 89.5
18-Jun-2016 06:05:18, 51.9998, -170.0050, -177.4, 91.9
18-Jun-2016 06:04:54, 52.0689, -169.8114, 173.8, 84.6
18-Jun-2016 05:59:32, 52.0547, -170.1067, -172.6, 86.4
18-Jun-2016 05:59:32, 52.0182, -170.0852, -173.9, 90.2
18-Jun-2016 05:59:32, 52.0243, -170.0316, -176.1, 89.2
18-Jun-2016 05:36:47, 52.3229, -170.5054, -145.6, 67.5
18-Jun-2016 05:30:49, 52.2156, -170.4915, -151.1, 77.2
18-Jun-2016 05:25:49, 52.0602, -169.9788, -178.4, 85.1
31-Jan-2016 05:45:42, 52.7596, -170.1958, -113.1, 18.4
31-Jan-2016 00:31:40, 52.9933, -169.7547, 34.1, 22.6
31-Jan-2016 00:19:33, 52.8953, -169.7179, 62.7, 17.1
08-Jan-2016 05:35:07, 52.5939, -169.9176, 176.0, 25.8
